citing_paper,citing_doi,local_number,full_citation,doi
Hong_2021,10.3389/fimmu.2021.644982,43,"Wall AJ, Rosenberg JL, Reilly RW. Small intestinal injury in the immunologically runted mouse. Morphologic and autoradiographic studies. J Lab Clin Med (1971) 78(5):833‚Äö√Ñ√¨4. - PubMed",NA
Hong_2021,10.3389/fimmu.2021.644982,90,"Bauer H, Horowitz RE, Levenson SM, Popper H. The response of the lymphatic tissue to the microbial flora. Studies on germfree mice. Am J Pathol (1963) 42:471‚Äö√Ñ√¨83. - PMC - PubMed",NA
Hong_2021,10.3389/fimmu.2021.644982,96,"Lampert IA, Moore RH, Huby R, Cohen J. Observations on the role of endotoxin in graft-versus-host disease. Prog Clin Biol Res (1988) 272:351‚Äö√Ñ√¨9. - PubMed",NA
Hong_2021,10.3389/fimmu.2021.644982,97,"Vriesendorp HM, Heidt PJ, Zurcher C. Gastrointestinal decontamination of dogs treated with total body irradiation and bone marrow transplantation. Exp Hematol (1981) 9(9):904‚Äö√Ñ√¨16. - PubMed",NA
Raghunathan_2016,10.1186/s12967-016-1094-3,25,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral nutrition and mucosal immunity: implications for feeding strategies in surgery and trauma. Can J Surg. 2004;47:109‚Äö√Ñ√¨116. - PMC - PubMed",NA
Chen_2015,10.1155/2015/145859,36,36.Billingham R. E. The biology of graft-versus-host reactions. Harvey Lectures. 1966;62:21‚Äö√Ñ√¨78. [PubMed] [Google Scholar],NA
Moses&Yeh_2026,10.1080/19490976.2026.2631224,29,"Abrams GD, Bauer H, Sprinz H. Influence of the normal flora on mucosal morphology and cellular renewal in the ileum. A comparison of germ-free and conventional mice. Lab Investig. 1963;12:355‚Äö√Ñ√¨364. -¬¨‚Ä†PubMed",NA
Zhou&Fang_2026,10.3389/fimmu.2025.1605669,21,"Liu W, Shen SM, Zhao XY, Chen GQ. Targeted genes and interacting proteins of hypoxia inducible factor-1. Int J Biochem Mol Biol. (2012) 3:165‚Äö√Ñ√¨78. -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Biscaglia_2025,10.3390/nu17233788,65,"65.Zhao Y., Wang Y., Wang Y., Wu D. Fecal microbiota transplantation for graft-versus-host disease: A systematic review and meta-analysis. J. Transl. Med. 2022;20:587.¬¨‚Ä†[Google Scholar]",NA
Olivieri&Mancini_2024,10.3390/cells13181524,54,"Ratanatharathorn V., Nash R.A., Przepiorka D., Devine S.M., Klein J.L., Weisdorf D., Fay J.W., Nademanee A., Antin J.H., Christiansen N.P., et al. Phase III study comparing methotrexate and tacrolimus (prograf, FK506) with methotrexate and cyclosporine for graft-versus-host disease prophylaxis after HLA-identical sibling bone marrow transplantation. Blood. 1998;92:2303‚Äö√Ñ√¨2314. -¬¨‚Ä†PubMed",NA
Olivieri&Mancini_2024,10.3390/cells13181524,95,"Chen Y.-B., Mohty M., Zeiser R., Teshima T., Takanami Y., Rossiter G., Jansson J., Fl‚àö‚àèisand Y. Vedolizumab for Prophylaxis of Lower Gastrointestinal (GI) Acute Graft-versus-Host Disease (aGVHD) After Allogeneic Hematopoietic Stem Cell Transplantation (allo-HSCT) From Unrelated Donors: Results of a Phase 3 Randomized, Double-Blind, Placebo-Controlled Multicenter Study (GRAPHITE) Clin. Adv. Hematol. Oncol. 2023;21:12‚Äö√Ñ√¨13.",NA
Olivieri&Mancini_2024,10.3390/cells13181524,101,"Przepiorka D., Weisdorf D., Martin P., Klingemann H.G., Beatty P., Hows J., Thomas E.D. 1994 Consensus Conference on Acute GVHD Grading. Bone Marrow Transplant. 1995;15:825‚Äö√Ñ√¨828. -¬¨‚Ä†PubMed",NA
Biennier_2024,10.3390/microorganisms12112256,100,"100.Ham B., Fernandez M.C., D‚Äö√Ñ√¥Costa Z., Brodt P. The diverse roles of the TNF axis in cancer progression and metastasis. Trends Cancer Res. 2016;11:1‚Äö√Ñ√¨27.¬¨‚Ä†[PMC free article] [PubMed] [Google Scholar]",NA
vanLier_2023,10.1080/19490976.2023.2178805,97,"Eiseman B, Silen W, Bascom GS, Kauvar AJ. Fecal enema as an adjunct in the treatment of pseudomembranous enterocolitis. Surgery. 1958. Nov;44(5):854‚Äö√Ñ√¨859. -¬¨‚Ä†PubMed",NA
Metafuni_2023,10.3390/microorganisms11092182,35,"35.Eilers J., Berger A.M., Petersen M.C. Development, testing, and application of the oral assessment guide. Oncol. Nurs. Forum. 1988;15:325‚Äö√Ñ√¨330.¬¨‚Ä†[PubMed] [Google Scholar]",NA
Bilinski_2022,10.3390/biomedicines10040837,27,"Ferrara J.L.M., Yanik G. Acute graft versus host disease: Pathophysiology, risk factors, and prevention strategies. Clin. Adv. Hematol. Oncol. H&O. 2005;3:415. -¬¨‚Ä†PubMed",NA
KazmierczakSiedlecka_2021,10.3390/cancers13184665,29,"Allegra A., Innao V., Allegra A.G., Ettari R., Pugliese M., Pulvirenti N., Musolino C. Role of the microbiota in hematologic malignancies. Neth. J. Med. 2019;77:67‚Äö√Ñ√¨80. -¬¨‚Ä†PubMed",NA
Fujiwara_2021,10.3389/fimmu.2021.703298,111,"Sigalet DL, Mackenzie SL, Hameed SM. Enteral Nutrition and Mucosal Immunity: Implications for Feeding Strategies in Surgery and Trauma. Can J Surg (2004) 47:109‚Äö√Ñ√¨16. -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Qayed_2021,10.1016/j.coi.2021.02.006,46,"Park JH, Lee JM, Lee EJ, Hwang WB, Kim DJ: Indole-3-Carbinol Promotes Goblet-Cell Differentiation Regulating Wnt and Notch Signaling Pathways AhR-Dependently. Mol Cells 2018, 41:290‚Äö√Ñ√¨300. -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Qayed_2021,10.1016/j.coi.2021.02.006,67,"Smith LH, Besser SG: Dietary restrictions for patients with neutropenia: a survey of institutional practices. Oncol Nurs Forum 2000, 27:515‚Äö√Ñ√¨520. -¬¨‚Ä†PubMed",NA
Muskens_2021,10.3390/cells10082051,15,"Peralvo J., Bacigalupo A., Pittaluga P.A., Occhini D., Van Lint M.T., Frassoni F., Nardelli E., Transino A., Pantarotto M., Marmout A.M. Poor graft function associated with graft-versus-host disease after allogeneic marrow transplantation. Bone Marrow Transplant. 1987;2:279‚Äö√Ñ√¨285. -¬¨‚Ä†PubMed",NA
Muskens_2021,10.3390/cells10082051,54,"Lepri E., Delfino D.V., Migliorati G., Moraca R., Ayroldi E., Riccardi C. Functional expression of Fas on mouse bone marrow stromal cells: Upregulation by tumor necrosis factor-≈í¬± and interferon-≈í‚â•. Exp. Hematol. 1998;26:1202‚Äö√Ñ√¨1208. -¬¨‚Ä†PubMed",NA
Muskens_2021,10.3390/cells10082051,57,"Kumar S., Mohammadpour H., Cao X. Targeting cytokines in GVHD therapy. J. Immunol. Res. Ther. 2017;2:90‚Äö√Ñ√¨99. -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Muskens_2021,10.3390/cells10082051,71,"Murphy K., Charles A., Janeway J., Travers P., Walport M. Janeway‚Äö√Ñ√¥s Immunobiology. Garland Science; New York, NY, USA: 2012.",NA
Muskens_2021,10.3390/cells10082051,108,"McKeny P.T., Nessel T.A., Zito P.M. Antifungal Antibiotics. StatPearls Publishing; Treasure Island, FL, USA: 2021. -¬¨‚Ä†PubMed",NA
Deeg_2021,10.3389/fimmu.2021.652105,2,"2.Burchenal JH, Oettgen HF, Holmberg EA, Hemphill SC, Reppert JA. Effect of total body irradiation on the transplantability of mouse leukemias. Cancer Res. (1960) 20:425.¬¨‚Ä†[PubMed] [Google Scholar]",NA
Deeg_2021,10.3389/fimmu.2021.652105,6,"6.Mathe G, Amiel JL, Schwarzenberg L, Cattan A, Schneider M. Adoptive immunotherapy of acute leukemia: experimental and clinical results. Cancer Res. (1965) 25:1525‚Äö√Ñ√¨31.¬¨‚Ä†[PubMed] [Google Scholar]",NA
Ara&Hashimoto_2021,10.3389/fimmu.2021.713631,87,"Sale GE, Beauchamp M. Parafollicular Hair Bulge in Human GVHD: A Stem Cell-Rich Primary Target. Bone Marrow Transplant (1993) 11(3):223‚Äö√Ñ√¨5. -¬¨‚Ä†PubMed",NA
Ara&Hashimoto_2021,10.3389/fimmu.2021.713631,88,"Sale GE, Beauchamp MD, Akiyama M. Parafollicular Bulges, But Not Hair Bulb Keratinocytes, Are Attacked in Graft-Versus-Host Disease of Human Skin. Bone Marrow Transplant (1994) 14(3):411‚Äö√Ñ√¨3. -¬¨‚Ä†PubMed",NA
Ara&Hashimoto_2021,10.3389/fimmu.2021.713631,90,"Sale GE, Shulman HM, Gallucci BB, Thomas ED. Young Rete Ridge Keratinocytes Are Preferred Targets in Cutaneous Graft-Versus-Host Disease. Am J Pathol (1985) 118(2):278‚Äö√Ñ√¨87. -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Ara&Hashimoto_2021,10.3389/fimmu.2021.713631,134,"McKenna KJ, Ligato S, Kauffman GL, Jr., Abt AB, Stryker JA, Conter RL. Epidermal Growth Factor Enhances Intestinal Mitotic Activity and DNA Content After Acute Abdominal Radiation. Surgery (1994) 115(5):626‚Äö√Ñ√¨32. -¬¨‚Ä†PubMed",NA
Ara&Hashimoto_2021,10.3389/fimmu.2021.713631,151,"Eigenbrodt ML, Eigenbrodt EH, Thiele DL. Histologic Similarity of Murine Colonic Graft-Versus-Host Disease (GVHD) to Human Colonic GVHD and Inflammatory Bowel Disease. Am J Pathol (1990) 137(5):1065‚Äö√Ñ√¨76. -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Ara&Hashimoto_2021,10.3389/fimmu.2021.713631,152,"Levy DA, Wefald A. Gut Mucosal Mast Cells and Goblet Cells During Acute Graft-Versus-Host Disease in Rats. Ann Inst Pasteur Immunol (1986) 137D(2):281‚Äö√Ñ√¨8. -¬¨‚Ä†PubMed",NA
Beckman_2021,10.1007/s00520-020-05821-2,2,"Wojnar J, Giebel S, Krawczyk-Kulis M, Markiewicz M, Kruzel T, Wylezol I, Czerw T, Seweryn M, Holowiecki J (2006) Acute graft-versus-host disease. The incidence and risk factors. Ann Transplant 11(1):16‚Äö√Ñ√¨23 -¬¨‚Ä†PubMed",NA
Beckman_2021,10.1007/s00520-020-05821-2,47,"Mougeot FB, Beckman M, Osipoff A, Dodd B, Butler C, Noll J, Morton DS, Avalos B, Copelan E, Brennan M, Mougeot JL (2020) Oral microbiome profiles of haematopoietic stem cell transplant patients who develop graft-versus-host disease [abstract]. Support Care Cancer [publication deferred due to COVID]",NA
Kumari_2020,10.3389/fphar.2020.588449,50,"Kumar S., Mohammadpour H., Cao X. (2017). Targeting cytokines in GVHD therapy. J Immunol. Res. Ther. 2 (1), 90‚Äö√Ñ√¨99. Published online June 28, 2017. PMCID: PMC5557058 NIHMSID: NIHMS891689 PMID: 28819653 -¬¨‚Ä†PMC¬¨‚Ä†-¬¨‚Ä†PubMed",NA
Kumari_2020,10.3389/fphar.2020.588449,81,"Sofi M. H., Wu Y., Dai M., Schutt S. D., Daenthanasanmak A., Heinrichs J. L., et al. (2017). Oxidative stress regulates T cell pathogenicity in gvhd. Blood 130 (Suppl. 1), 3168‚Äö√Ñ√¨3168.",NA
Zeiser_2018,10.1182/asheducation-2018.1.236,21,"Bola‚àö¬±os-Meade J, Reshef R, Fraser R, et al. Novel Approaches for Graft-Versus-Host Disease (GvHD) Prophylaxis: primary results of progress I multicenter trial of matched allogeneic hematopoietic cell transplantation (alloHCT) using reduced intensity conditioning (RIC) BMT CTN 1203.¬¨‚Ä†Biol Blood Marrow Transplant¬¨‚Ä†2018;ASBMT 2018.",NA
Chen_2015,10.1155/2015/145859,36,36.Billingham R. E. The biology of graft-versus-host reactions. Harvey Lectures. 1966;62:21‚Äö√Ñ√¨78.¬¨‚Ä†[PubMed] [Google Scholar],NA
Holler_2010,10.4061/2010/814326,35,"35.Lampert IA, Moore RH, Huby R, Cohen J. Observations on the role of endotoxin in graft-versus-host disease. Progress in Clinical and Biological Research. 1988;272:351‚Äö√Ñ√¨359.¬¨‚Ä†[PubMed] [Google Scholar]",NA
DeFilipp_2019,10.1016/j.bbmt.2018.10.022,9,"E. van Nood, A. Vrieze, M. Nieuwdorp, et al. Duodenal infusion of donor feces for recurrent Clostridium difficile N Engl J Med, 368 (2013), pp. 407-415",NA
Docampo_2015,10.1016/j.bbmt.2015.02.016,45,"M. Hauer-Jensen, J.W. Denham, H.J. Andreyev Radiation enteropathy-pathogenesis, treatment and prevention Nat Rev Gastroenterol Hepatol, 11 (2014), pp. 470-479",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,115,"Zitvogel L, Ayyoub M, Routy B & Kroemer G Microbiome and anticancer immunosurveillance. Cell 165, 276–287 (2016). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,148,"Fiedler K, Kokai E, Bresch S & Brunner C MyD88 is involved in myeloid as well as lymphoid hematopoiesis independent of the presence of a pathogen. Am. J. Blood Res 3, 124–140 (2013). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,161,"Flowers ME et al. Long-Term Follow-Up After Hematopoietic Stem Cell Transplant. General Guidelines for Referring Physicians (Fred Hutchinson Cancer Research Center/Seattle Cancer Care Alliance, Seattle, 2008).",NA
