"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","Original_Name"
"ASV1560","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Anaerostipes",NA,"MJ005-barcode25-umi17993bins-ubs-12"
"ASV1570","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Anaerotignaceae","","","MJ006-1-barcode43-umi120251bins-ubs-4"
"ASV1577","Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Anaerotignaceae","Anaerotignum_189125","Anaerotignum lactatifermentans","GB-GCA-001304995.1-BBZU01000039.1"
"ASV1590","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Dialisteraceae","Dialister_37762","Dialister invisus","MJ006-1-barcode49-umi104059bins-ubs-5"
"ASV1596","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella_A",NA,"RS-GCF-002847925.1-NZ-PKHW01000010.1"
"ASV1601","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella_A",NA,"EF108443"
"ASV1610","Bacteria","Bacillota_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella_A",NA,"RS-GCF-002959815.1-NZ-PPCZ01000008.1"
"ASV1621","Bacteria","Bacillota_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus",NA,"AF473835"
"ASV1630","Bacteria","Bacillota_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium_A_40086","Phascolarctobacterium_A_40086 faecium","GB-GCA-900542515.1-UQOA01000002.1"
"ASV1660","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Rothia","Rothia sp001808955","RS-GCF-001812895.1-NZ-KV810708.1"
"ASV1665","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Micrococcaceae","Rothia","Rothia dentocariosa","RS-GCF-001064485.1-NZ-JVLW01000023.1"
"ASV1679","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Pauljensenia",NA,"AB818950"
"ASV1691","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium_388775","Bifidobacterium longum","GB-GCA-000468795.1-AWPJ01000352.1"
"ASV1716","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","Eggerthella lenta","CP001726"
"ASV1731","Archaea","Methanobacteriota_A_1229","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A","Methanobrevibacter_A smithii_A","GB-GCA-900763655.1-CAAFLB010000040.1"
